site,X,Y
A7N0628,30.11888889,-22.30972222
A7N0629,29.57551,-23.6736
A7N0630,29.375,-22.1986
A7N0631,29.5923,-23.97537
A7N0632,29.5899,-23.97427
A7N0633,29.67412,-23.76016
A7N0634,28.9872,-23.1215
A7N0635,29.21614,-23.81176
A7N0636,29.46545,-23.93544
A7N0637,29.37878,-23.83892
A7N0638,29.82634,-23.5097
A7N0639,29.22748,-24.04168
A7N0640,28.95972222,-23.19055556
A7N0641,29.42947,-23.53646
A7N0642,29.41861,-23.8203
A7N0643,29.55139,-23.36065
A7N0644,29.37553,-23.13561
A7N0645,29.86376,-22.61559
A7N0646,29.44812,-23.807999
A7N0647,29.45157,-23.8892
A7N0648,28.95889,-23.19189
A7N0649,29.87459,-22.31084
A7N0650,29.63585,-22.41584
A7N0651,29.60595,-22.6596
A7N0652,29.59205,-22.8382
A7N0653,29.59846,-23.70542
A7N0654,29.56596,-23.74998
A7N0655,29.40771,-23.81791
A7N0656,29.72625,-23.43173
A7N0657,29.79917,-23.32334
A7N0658,29.33158,-23.66153
A7N0659,29.1082,-23.12437
A7N0660,29.20344,-22.86683
A7N0661,29.41792,-23.65942
A7N0662,29.41807,-23.23107
A7N0663,29.56415,-23.17629
A7N0664,29.41282,-23.19836
A7N0665,29.29836,-23.09797
A7N0666,29.42289,-23.33486
A7N0667,29.33336,-23.20238
A7N0668,29.37366,-23.18749
A7N0669,29.38345,-23.11526
A7N0670,29.19724,-23.16819
A7N0671,29.50139,-23.13679
A7N0672,29.33295,-23.17252
A7N0673,29.46045,-23.17709
A7N0674,29.30081,-23.26621
A8N0504,30.52305556,-22.32611111
A8N0505,30.1606,-22.6164
A8N0506,30.57008,-22.47003
A8N0507,29.7856,-22.94022
A8N0508,30.2257,-22.9188
A8N0509,30.2636,-22.9241
A8N0510,30.37452,-22.36452
A8N0512,30.40555556,-22.60944444
A8N0513,29.96088,-22.78889
A8N0514,30.3886,-22.74094
A8N0515,30.05234,-22.81509
A9N0001,30.6605,-22.5874
A9N0002,30.9374,-22.4566
A9N0003,30.9688,-22.4249
A9N0004,30.9687,-22.4249
A9N0005,30.8468,-22.4209
A9N0006,30.8474,-22.4229
A9N0007,30.05134,-23.13907
A9N0008,30.53884,-23.0541
A9N0009,30.39991,-22.85428
A9N0010,30.82308,-22.57881
A9N0011,30.79233,-22.70289
A9N0012,30.5812,-22.5516
A9N0013,30.63414,-22.74744
A9N0014,30.67031,-22.88436
A9N0015,30.8937,-22.7667
A9N0016,30.7266,-22.4638
A9N0017,30.98251,-22.47762
A9N0018,30.26623,-23.08848
A9N0019,29.84556,-23.29078
A9N0020,30.99426,-22.42471
A9N0021,29.9551,-23.21843
A9N0022,30.82394,-22.70386
A9N0025,30.6462,-22.73525
A9N0028,30.5963,-22.75508
A9N0030,30.75611,-22.80248
A9N0031,31.19381,-22.55839
A9N0032,31.28059,-22.59119
A9N0033,31.02653,-22.65444
B1N0003,29.35128,-26.40001
B1N0004,29.84996,-26.34368
B1N0005,29.68519,-26.25176
B1N0006,29.18705,-25.79295
B1N0007,29.28548,-26.22459
B1N0008,29.4536,-25.73681
B2N0001,28.67612,-26.14387
B2N0002,28.675,-26.14416667
B2N0003,28.68447,-26.14309
B2N0006,28.67076,-26.13923
B2N0020,28.45194444,-26.02527778
B2N0021,28.45206,-26.02578
B2N0022,28.471,-26.03422
B2N0027,28.45703,-26.05966
B2N0028,28.51211,-26.06026
B2N0031,28.532,-26.06295
B2N0032,28.53848,-26.06716
B2N0034,28.54539,-26.07419
B2N0036,28.53852,-26.09055
B2N0037,28.53082,-26.09027
B2N0038,28.53053,-26.09027
B2N0039,28.521,-26.07885
B2N0041,28.49999,-26.08924
B2N0043,28.52307,-26.08797
B2N0044,28.59915,-26.08663
B2N0046,28.59789,-26.08854
B2N0049,28.58252,-26.09672
B2N0050,28.58294,-26.0969
B2N0051,28.57226,-26.12045
B2N0052,28.54127,-26.13542
B2N0053,28.60289,-26.15893
B2N0054,28.62191,-26.12681
B2N0055,28.65684,-26.11306
B2N0056,28.73528,-26.12387
B2N0057,28.63291,-26.24936
B2N0058,28.60405,-26.10047
B2N0059,28.58505,-26.08326
B2N0060,28.56633,-26.07468
B2N0061,28.54133,-26.06103
B2N0062,28.53225,-26.06906
B2N0063,28.53219,-26.09396
B2N0066,28.4952,-26.06713
B2N0067,28.50592,-26.05272
B2N0068,28.49163,-26.04868
B2N0069,28.69672,-26.15228
B2N0071,28.73772,-26.16058
B2N0073,28.67844,-26.20299
B2N0076,28.48041,-26.04186
B2N0079,28.74225,-26.13155
B2N0081,28.63526,-26.19087
